scalar,RGB_r,RGB_g,RGB_b
0.0,59,76,192
0.03225806451612903,67,88,198
0.06451612903225806,76,99,202
0.0967741935483871,85,110,207
0.12903225806451613,95,121,211
0.16129032258064516,105,132,215
0.1935483870967742,116,142,219
0.22580645161290322,127,153,222
0.25806451612903225,139,164,225
0.29032258064516125,151,175,228
0.3225806451612903,164,185,230
0.3548387096774194,177,196,233
0.3870967741935484,191,206,235
0.4193548387096774,205,217,237
0.45161290322580644,219,227,239
0.4838709677419355,235,237,241
0.5161290322580645,241,236,233
0.5483870967741935,238,224,215
0.5806451612903225,236,211,198
0.6129032258064516,233,199,182
0.6451612903225806,229,186,166
0.6774193548387096,226,173,151
0.7096774193548387,223,160,136
0.7419354838709677,219,147,122
0.7741935483870968,215,134,109
0.8064516129032258,211,121,97
0.8387096774193548,206,107,85
0.8709677419354839,201,93,74
0.9032258064516129,196,77,64
0.9354838709677419,191,61,54
0.967741935483871,186,41,46
1.0,180,4,38
