scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.03225806451612903,23,8,4
0.06451612903225806,35,15,9
0.0967741935483871,47,19,13
0.12903225806451613,60,21,16
0.16129032258064516,73,24,19
0.1935483870967742,87,26,21
0.22580645161290322,101,28,23
0.25806451612903225,115,30,25
0.29032258064516125,130,31,27
0.3225806451612903,145,33,30
0.3548387096774194,160,33,32
0.3870967741935484,176,34,34
0.4193548387096774,185,47,32
0.45161290322580644,193,59,30
0.4838709677419355,202,71,27
0.5161290322580645,210,82,22
0.5483870967741935,218,93,16
0.5806451612903225,226,104,6
0.6129032258064516,229,118,9
0.6451612903225806,230,132,15
0.6774193548387096,231,146,20
0.7096774193548387,232,159,25
0.7419354838709677,233,172,30
0.7741935483870968,233,185,35
0.8064516129032258,233,198,40
0.8387096774193548,232,211,45
0.8709677419354839,231,223,50
0.9032258064516129,236,233,89
0.9354838709677419,246,240,148
0.967741935483871,253,247,202
1.0,255,255,255
