scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,0
0.015873015873015872,9,3,17
0.031746031746031744,17,7,28
0.047619047619047616,20,11,38
0.06349206349206349,22,14,49
0.07936507936507936,24,16,60
0.09523809523809523,25,17,71
0.1111111111111111,26,18,83
0.12698412698412698,26,19,95
0.14285714285714285,26,20,107
0.15873015873015872,24,21,119
0.1746031746031746,22,22,132
0.19047619047619047,17,23,145
0.20634920634920634,9,23,158
0.2222222222222222,7,24,170
0.23809523809523808,29,23,177
0.25396825396825395,43,22,184
0.2698412698412698,54,20,192
0.2857142857142857,64,18,199
0.30158730158730157,74,15,207
0.31746031746031744,83,10,215
0.3333333333333333,92,5,222
0.3492063492063492,109,0,222
0.36507936507936506,138,0,200
0.38095238095238093,158,0,179
0.3968253968253968,174,0,157
0.4126984126984127,187,0,136
0.42857142857142855,198,0,115
0.4444444444444444,208,0,95
0.4603174603174603,215,13,74
0.47619047619047616,221,27,60
0.49206349206349204,224,40,60
0.5079365079365079,227,51,60
0.5238095238095237,231,60,60
0.5396825396825397,234,68,59
0.5555555555555556,237,76,59
0.5714285714285714,240,83,59
0.5873015873015872,243,90,58
0.6031746031746031,246,97,58
0.6190476190476191,249,104,57
0.6349206349206349,252,110,57
0.6507936507936507,255,117,56
0.6666666666666666,254,125,56
0.6825396825396826,253,134,56
0.6984126984126984,253,142,56
0.7142857142857142,251,150,56
0.7301587301587301,250,158,56
0.746031746031746,249,166,56
0.7619047619047619,247,173,56
0.7777777777777777,246,181,56
0.7936507936507936,244,188,55
0.8095238095238095,242,195,55
0.8253968253968254,240,203,55
0.8412698412698412,238,210,54
0.8571428571428571,235,217,54
0.873015873015873,233,224,53
0.8888888888888888,230,230,56
0.9047619047619047,237,234,92
0.9206349206349206,242,237,122
0.9365079365079365,246,240,150
0.9523809523809523,250,244,176
0.9682539682539681,253,248,203
0.9841269841269841,254,251,229
1.0,255,255,255
