scalar,RGB_r,RGB_g,RGB_b
0.0,0,0,4
0.0019569471624266144,0,0,4
0.003913894324853229,1,0,5
0.005870841487279843,1,0,5
0.007827788649706457,1,1,6
0.009784735812133072,1,1,7
0.011741682974559686,1,1,8
0.0136986301369863,1,1,9
0.015655577299412915,2,1,10
0.01761252446183953,2,1,11
0.019569471624266144,2,2,12
0.021526418786692758,2,2,13
0.023483365949119372,2,2,14
0.025440313111545987,3,2,15
0.0273972602739726,3,2,16
0.029354207436399216,3,3,17
0.03131115459882583,4,3,18
0.033268101761252444,4,3,19
0.03522504892367906,4,3,20
0.03718199608610567,5,4,22
0.03913894324853229,5,4,23
0.0410958904109589,5,4,24
0.043052837573385516,6,4,25
0.04500978473581213,6,5,26
0.046966731898238745,7,5,27
0.04892367906066536,7,5,28
0.050880626223091974,7,5,29
0.05283757338551859,8,6,30
0.0547945205479452,8,6,31
0.05675146771037182,9,6,33
0.05870841487279843,10,7,34
0.060665362035225046,10,7,35
0.06262230919765166,11,7,36
0.06457925636007827,11,7,37
0.06653620352250489,12,8,38
0.0684931506849315,13,8,39
0.07045009784735812,13,8,41
0.07240704500978473,14,9,42
0.07436399217221135,14,9,43
0.07632093933463796,15,9,44
0.07827788649706457,16,9,45
0.08023483365949119,16,10,46
0.0821917808219178,17,10,48
0.08414872798434442,17,10,49
0.08610567514677103,18,10,50
0.08806262230919765,19,10,51
0.09001956947162426,19,11,52
0.09197651663405088,20,11,54
0.09393346379647749,21,11,55
0.0958904109589041,22,11,56
0.09784735812133072,22,11,57
0.09980430528375733,23,11,58
0.10176125244618395,24,12,60
0.10371819960861056,24,12,61
0.10567514677103718,25,12,62
0.10763209393346379,26,12,63
0.1095890410958904,27,12,64
0.11154598825831702,27,12,66
0.11350293542074363,28,12,67
0.11545988258317025,29,12,68
0.11741682974559686,30,12,69
0.11937377690802348,30,12,70
0.12133072407045009,31,12,72
0.1232876712328767,32,12,73
0.12524461839530332,33,12,74
0.12720156555772993,34,12,75
0.12915851272015655,35,12,76
0.13111545988258316,35,12,77
0.13307240704500978,36,12,79
0.1350293542074364,37,12,80
0.136986301369863,38,12,81
0.13894324853228962,39,11,82
0.14090019569471623,40,11,83
0.14285714285714285,40,11,84
0.14481409001956946,41,11,85
0.14677103718199608,42,11,86
0.1487279843444227,43,11,87
0.1506849315068493,44,11,88
0.15264187866927592,45,11,89
0.15459882583170254,46,10,90
0.15655577299412915,47,10,90
0.15851272015655576,48,10,91
0.16046966731898238,48,10,92
0.162426614481409,49,10,93
0.1643835616438356,50,10,94
0.16634050880626222,51,10,94
0.16829745596868884,52,10,95
0.17025440313111545,53,10,96
0.17221135029354206,54,9,96
0.17416829745596868,55,9,97
0.1761252446183953,55,9,98
0.1780821917808219,56,9,98
0.18003913894324852,57,9,99
0.18199608610567514,58,9,99
0.18395303326810175,59,9,100
0.18590998043052837,60,9,100
0.18786692759295498,61,9,101
0.1898238747553816,61,9,101
0.1917808219178082,62,9,102
0.19373776908023482,63,10,102
0.19569471624266144,64,10,103
0.19765166340508805,65,10,103
0.19960861056751467,66,10,104
0.20156555772994128,67,10,104
0.2035225048923679,67,10,104
0.2054794520547945,68,10,105
0.20743639921722112,69,10,105
0.20939334637964774,70,11,105
0.21135029354207435,71,11,106
0.21330724070450097,72,11,106
0.21526418786692758,72,11,106
0.2172211350293542,73,11,106
0.2191780821917808,74,12,107
0.22113502935420742,75,12,107
0.22309197651663404,76,12,107
0.22504892367906065,76,12,107
0.22700587084148727,77,13,108
0.22896281800391388,78,13,108
0.2309197651663405,79,13,108
0.2328767123287671,80,13,108
0.23483365949119372,80,14,108
0.23679060665362034,81,14,109
0.23874755381604695,82,14,109
0.24070450097847357,83,14,109
0.24266144814090018,84,15,109
0.2446183953033268,84,15,109
0.2465753424657534,85,15,109
0.24853228962818003,86,16,109
0.25048923679060664,87,16,109
0.25244618395303325,88,16,110
0.25440313111545987,88,16,110
0.2563600782778865,89,17,110
0.2583170254403131,90,17,110
0.2602739726027397,91,17,110
0.2622309197651663,92,18,110
0.26418786692759294,92,18,110
0.26614481409001955,93,18,110
0.26810176125244617,94,18,110
0.2700587084148728,95,19,110
0.2720156555772994,96,19,110
0.273972602739726,96,19,110
0.2759295499021526,97,20,110
0.27788649706457924,98,20,110
0.27984344422700586,99,20,110
0.28180039138943247,100,21,110
0.2837573385518591,100,21,110
0.2857142857142857,101,21,110
0.2876712328767123,102,21,110
0.2896281800391389,103,22,110
0.29158512720156554,104,22,110
0.29354207436399216,104,22,110
0.29549902152641877,105,23,110
0.2974559686888454,106,23,110
0.299412915851272,107,23,110
0.3013698630136986,108,23,110
0.30332681017612523,108,24,110
0.30528375733855184,109,24,110
0.30724070450097846,110,24,110
0.30919765166340507,111,25,110
0.3111545988258317,111,25,110
0.3131115459882583,112,25,110
0.3150684931506849,113,26,110
0.31702544031311153,114,26,110
0.31898238747553814,115,26,110
0.32093933463796476,115,26,110
0.32289628180039137,116,27,110
0.324853228962818,117,27,110
0.3268101761252446,118,27,110
0.3287671232876712,119,28,109
0.33072407045009783,119,28,109
0.33268101761252444,120,28,109
0.33463796477495106,121,28,109
0.33659491193737767,122,29,109
0.3385518590998043,123,29,109
0.3405088062622309,123,29,109
0.3424657534246575,124,30,109
0.34442270058708413,125,30,109
0.34637964774951074,126,30,108
0.34833659491193736,127,30,108
0.350293542074364,127,31,108
0.3522504892367906,128,31,108
0.3542074363992172,129,31,108
0.3561643835616438,130,31,108
0.35812133072407043,130,32,108
0.36007827788649704,131,32,107
0.36203522504892366,132,32,107
0.3639921722113503,133,33,107
0.3659491193737769,134,33,107
0.3679060665362035,134,33,107
0.3698630136986301,135,33,107
0.37181996086105673,136,34,106
0.37377690802348335,137,34,106
0.37573385518590996,138,34,106
0.3776908023483366,138,35,106
0.3796477495107632,139,35,106
0.3816046966731898,140,35,105
0.3835616438356164,141,35,105
0.38551859099804303,142,36,105
0.38747553816046965,142,36,105
0.38943248532289626,143,36,104
0.3913894324853229,144,36,104
0.3933463796477495,145,37,104
0.3953033268101761,146,37,104
0.3972602739726027,146,37,103
0.39921722113502933,147,38,103
0.40117416829745595,148,38,103
0.40313111545988256,149,38,103
0.4050880626223092,150,38,102
0.4070450097847358,150,39,102
0.4090019569471624,151,39,102
0.410958904109589,152,39,102
0.41291585127201563,153,40,101
0.41487279843444225,153,40,101
0.41682974559686886,154,40,101
0.4187866927592955,155,41,100
0.4207436399217221,156,41,100
0.4227005870841487,157,41,100
0.4246575342465753,157,41,100
0.42661448140900193,158,42,99
0.42857142857142855,159,42,99
0.43052837573385516,160,42,99
0.4324853228962818,161,43,98
0.4344422700587084,161,43,98
0.436399217221135,162,43,98
0.4383561643835616,163,44,97
0.44031311154598823,164,44,97
0.44227005870841485,164,44,97
0.44422700587084146,165,45,96
0.4461839530332681,166,45,96
0.4481409001956947,167,45,96
0.4500978473581213,168,45,95
0.4520547945205479,168,46,95
0.45401174168297453,169,46,94
0.45596868884540115,170,46,94
0.45792563600782776,171,47,94
0.4598825831702544,171,47,93
0.461839530332681,172,47,93
0.4637964774951076,173,48,93
0.4657534246575342,174,48,92
0.46771037181996084,174,49,92
0.46966731898238745,175,49,91
0.47162426614481406,176,49,91
0.4735812133072407,177,50,91
0.4755381604696673,178,50,90
0.4774951076320939,178,50,90
0.4794520547945205,179,51,89
0.48140900195694714,180,51,89
0.48336594911937375,181,51,88
0.48532289628180036,181,52,88
0.487279843444227,182,52,88
0.4892367906066536,183,53,87
0.4911937377690802,184,53,87
0.4931506849315068,184,53,86
0.49510763209393344,185,54,86
0.49706457925636005,186,54,85
0.49902152641878667,186,54,85
0.5009784735812133,187,55,84
0.5029354207436398,188,55,84
