scalar,RGB_r,RGB_g,RGB_b
0.0,68,1,84
0.00392156862745098,68,2,86
0.00784313725490196,69,4,87
0.011764705882352941,69,5,89
0.01568627450980392,70,7,90
0.0196078431372549,70,8,92
0.023529411764705882,70,10,93
0.027450980392156862,70,11,94
0.03137254901960784,71,13,96
0.03529411764705882,71,14,97
0.0392156862745098,71,16,99
0.043137254901960784,71,17,100
0.047058823529411764,71,19,101
0.050980392156862744,72,20,103
0.054901960784313725,72,22,104
0.058823529411764705,72,23,105
0.06274509803921569,72,24,106
0.06666666666666667,72,26,108
0.07058823529411765,72,27,109
0.07450980392156863,72,28,110
0.0784313725490196,72,29,111
0.08235294117647059,72,31,112
0.08627450980392157,72,32,113
0.09019607843137255,72,33,115
0.09411764705882353,72,35,116
0.09803921568627451,72,36,117
0.10196078431372549,72,37,118
0.10588235294117647,72,38,119
0.10980392156862745,72,40,120
0.11372549019607843,72,41,121
0.11764705882352941,71,42,122
0.12156862745098039,71,44,122
0.12549019607843137,71,45,123
0.12941176470588234,71,46,124
0.13333333333333333,71,47,125
0.13725490196078433,70,48,126
0.1411764705882353,70,50,126
0.14509803921568626,70,51,127
0.14901960784313725,70,52,128
0.15294117647058825,69,53,129
0.1568627450980392,69,55,129
0.16078431372549018,69,56,130
0.16470588235294117,68,57,131
0.16862745098039217,68,58,131
0.17254901960784313,68,59,132
0.1764705882352941,67,61,132
0.1803921568627451,67,62,133
0.1843137254901961,66,63,133
0.18823529411764706,66,64,134
0.19215686274509802,66,65,134
0.19607843137254902,65,66,135
0.2,65,68,135
0.20392156862745098,64,69,136
0.20784313725490194,64,70,136
0.21176470588235294,63,71,136
0.21568627450980393,63,72,137
0.2196078431372549,62,73,137
0.22352941176470587,62,74,137
0.22745098039215686,62,76,138
0.23137254901960785,61,77,138
0.23529411764705882,61,78,138
0.2392156862745098,60,79,138
0.24313725490196078,60,80,139
0.24705882352941178,59,81,139
0.25098039215686274,59,82,139
0.2549019607843137,58,83,139
0.2588235294117647,58,84,140
0.2627450980392157,57,85,140
0.26666666666666666,57,86,140
0.27058823529411763,56,88,140
0.27450980392156865,56,89,140
0.2784313725490196,55,90,140
0.2823529411764706,55,91,141
0.28627450980392155,54,92,141
0.2901960784313725,54,93,141
0.29411764705882354,53,94,141
0.2980392156862745,53,95,141
0.30196078431372547,52,96,141
0.3058823529411765,52,97,141
0.30980392156862746,51,98,141
0.3137254901960784,51,99,141
0.3176470588235294,50,100,142
0.32156862745098036,50,101,142
0.3254901960784314,49,102,142
0.32941176470588235,49,103,142
0.3333333333333333,49,104,142
0.33725490196078434,48,105,142
0.3411764705882353,48,106,142
0.34509803921568627,47,107,142
0.34901960784313724,47,108,142
0.3529411764705882,46,109,142
0.3568627450980392,46,110,142
0.3607843137254902,46,111,142
0.36470588235294116,45,112,142
0.3686274509803922,45,113,142
0.37254901960784315,44,113,142
0.3764705882352941,44,114,142
0.3803921568627451,44,115,142
0.38431372549019605,43,116,142
0.38823529411764707,43,117,142
0.39215686274509803,42,118,142
0.396078431372549,42,119,142
0.4,42,120,142
0.403921568627451,41,121,142
0.40784313725490196,41,122,142
0.4117647058823529,41,123,142
0.4156862745098039,40,124,142
0.4196078431372549,40,125,142
0.4235294117647059,39,126,142
0.42745098039215684,39,127,142
0.43137254901960786,39,128,142
0.43529411764705883,38,129,142
0.4392156862745098,38,130,142
0.44313725490196076,38,130,142
0.44705882352941173,37,131,142
0.45098039215686275,37,132,142
0.4549019607843137,37,133,142
0.4588235294117647,36,134,142
0.4627450980392157,36,135,142
0.4666666666666667,35,136,142
0.47058823529411764,35,137,142
0.4745098039215686,35,138,141
0.4784313725490196,34,139,141
0.4823529411764706,34,140,141
0.48627450980392156,34,141,141
0.49019607843137253,33,142,141
0.49411764705882355,33,143,141
0.4980392156862745,33,144,141
0.5019607843137255,33,145,140
0.5058823529411764,32,146,140
0.5098039215686274,32,146,140
0.5137254901960784,32,147,140
0.5176470588235293,31,148,140
0.5215686274509804,31,149,139
0.5254901960784314,31,150,139
0.5294117647058824,31,151,139
0.5333333333333333,31,152,139
0.5372549019607843,31,153,138
0.5411764705882353,31,154,138
0.5450980392156862,30,155,138
0.5490196078431373,30,156,137
0.5529411764705883,30,157,137
0.5568627450980392,31,158,137
0.5607843137254902,31,159,136
0.5647058823529412,31,160,136
0.5686274509803921,31,161,136
0.5725490196078431,31,161,135
0.5764705882352941,31,162,135
0.580392156862745,32,163,134
0.5843137254901961,32,164,134
0.5882352941176471,33,165,133
0.592156862745098,33,166,133
0.596078431372549,34,167,133
0.6,34,168,132
0.6039215686274509,35,169,131
0.6078431372549019,36,170,131
0.611764705882353,37,171,130
0.615686274509804,37,172,130
0.6196078431372549,38,173,129
0.6235294117647059,39,173,129
0.6274509803921569,40,174,128
0.6313725490196078,41,175,127
0.6352941176470588,42,176,127
0.6392156862745098,44,177,126
0.6431372549019607,45,178,125
0.6470588235294118,46,179,124
0.6509803921568628,47,180,124
0.6549019607843137,49,181,123
0.6588235294117647,50,182,122
0.6627450980392157,52,182,121
0.6666666666666666,53,183,121
0.6705882352941176,55,184,120
0.6745098039215687,56,185,119
0.6784313725490196,58,186,118
0.6823529411764706,59,187,117
0.6862745098039216,61,188,116
0.6901960784313725,63,188,115
0.6941176470588235,64,189,114
0.6980392156862745,66,190,113
0.7019607843137254,68,191,112
0.7058823529411764,70,192,111
0.7098039215686275,72,193,110
0.7137254901960784,74,193,109
0.7176470588235294,76,194,108
0.7215686274509804,78,195,107
0.7254901960784313,80,196,106
0.7294117647058823,82,197,105
0.7333333333333333,84,197,104
0.7372549019607844,86,198,103
0.7411764705882353,88,199,101
0.7450980392156863,90,200,100
0.7490196078431373,92,200,99
0.7529411764705882,94,201,98
0.7568627450980392,96,202,96
0.7607843137254902,99,203,95
0.7647058823529411,101,203,94
0.7686274509803921,103,204,92
0.7725490196078432,105,205,91
0.7764705882352941,108,205,90
0.7803921568627451,110,206,88
0.7843137254901961,112,207,87
0.788235294117647,115,208,86
0.792156862745098,117,208,84
0.796078431372549,119,209,83
0.8,122,209,81
0.803921568627451,124,210,80
0.807843137254902,127,211,78
0.8117647058823529,129,211,77
0.8156862745098039,132,212,75
0.8196078431372549,134,213,73
0.8235294117647058,137,213,72
0.8274509803921568,139,214,70
0.8313725490196078,142,214,69
0.8352941176470589,144,215,67
0.8392156862745098,147,215,65
0.8431372549019608,149,216,64
0.8470588235294118,152,216,62
0.8509803921568627,155,217,60
0.8549019607843137,157,217,59
0.8588235294117647,160,218,57
0.8627450980392157,162,218,55
0.8666666666666667,165,219,54
0.8705882352941177,168,219,52
0.8745098039215686,170,220,50
0.8784313725490196,173,220,48
0.8823529411764706,176,221,47
0.8862745098039215,178,221,45
0.8901960784313725,181,222,43
0.8941176470588235,184,222,41
0.8980392156862745,186,222,40
0.9019607843137255,189,223,38
0.9058823529411765,192,223,37
0.9098039215686274,194,223,35
0.9137254901960784,197,224,33
0.9176470588235294,200,224,32
0.9215686274509803,202,225,31
0.9254901960784314,205,225,29
0.9294117647058824,208,225,28
0.9333333333333333,210,226,27
0.9372549019607843,213,226,26
0.9411764705882353,216,226,25
0.9450980392156862,218,227,25
0.9490196078431372,221,227,24
0.9529411764705882,223,227,24
0.9568627450980391,226,228,24
0.9607843137254902,229,228,25
0.9647058823529412,231,228,25
0.9686274509803922,234,229,26
0.9725490196078431,236,229,27
0.9764705882352941,239,229,28
0.9803921568627451,241,229,29
0.984313725490196,244,230,30
0.9882352941176471,246,230,32
0.9921568627450981,248,230,33
0.996078431372549,251,231,35
