"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"1",20,1,"1","bal","Surface","E","bal-E-1"
"2",20,1.07734927817631,"2","bal","Surface","E","bal-E-2"
"3",20,3.89638779359828,"3","bal","Surface","E","bal-E-3"
"4",20,10.7148224457641,"4","bal","Surface","E","bal-E-4"
"5",40,1,"1","bal","Surface","E","bal-E-1"
"6",40,1.13644817725338,"2","bal","Surface","E","bal-E-2"
"7",40,4.41025658950224,"3","bal","Surface","E","bal-E-3"
"8",40,8.08611811601401,"4","bal","Surface","E","bal-E-4"
"9",60,1,"1","bal","Surface","E","bal-E-1"
"10",60,1.10712340374024,"2","bal","Surface","E","bal-E-2"
"11",60,3.69313077272498,"3","bal","Surface","E","bal-E-3"
"12",60,6.87254625716164,"4","bal","Surface","E","bal-E-4"
"13",80,1,"1","bal","Surface","E","bal-E-1"
"14",80,1.13859376642182,"2","bal","Surface","E","bal-E-2"
"15",80,3.66350294203846,"3","bal","Surface","E","bal-E-3"
"16",80,6.12297033881275,"4","bal","Surface","E","bal-E-4"
"17",100,1,"1","bal","Surface","E","bal-E-1"
"18",100,1.16256253099238,"2","bal","Surface","E","bal-E-2"
"19",100,3.4726119131935,"3","bal","Surface","E","bal-E-3"
"20",100,5.59550459051172,"4","bal","Surface","E","bal-E-4"
"21",20,1,"1","imb","Surface","E","imb-E-1"
"22",20,1.01348892706332,"2","imb","Surface","E","imb-E-2"
"23",20,4.22112022782383,"3","imb","Surface","E","imb-E-3"
"24",20,14.3136294100774,"4","imb","Surface","E","imb-E-4"
"25",40,1,"1","imb","Surface","E","imb-E-1"
"26",40,1.04264133901086,"2","imb","Surface","E","imb-E-2"
"27",40,5.32757991405192,"3","imb","Surface","E","imb-E-3"
"28",40,15.6970201547161,"4","imb","Surface","E","imb-E-4"
"29",60,1,"1","imb","Surface","E","imb-E-1"
"30",60,1.08119968367969,"2","imb","Surface","E","imb-E-2"
"31",60,4.77084084135619,"3","imb","Surface","E","imb-E-3"
"32",60,16.0598679016387,"4","imb","Surface","E","imb-E-4"
"33",80,1,"1","imb","Surface","E","imb-E-1"
"34",80,1.09350067366427,"2","imb","Surface","E","imb-E-2"
"35",80,5.0227027806961,"3","imb","Surface","E","imb-E-3"
"36",80,16.1197917608796,"4","imb","Surface","E","imb-E-4"
"37",100,1,"1","imb","Surface","E","imb-E-1"
"38",100,1.07916971630998,"2","imb","Surface","E","imb-E-2"
"39",100,4.95943958094145,"3","imb","Surface","E","imb-E-3"
"40",100,15.7291678519817,"4","imb","Surface","E","imb-E-4"
"41",20,1,"1","slc","Surface","E","slc-E-1"
"42",20,1.09057720320466,"2","slc","Surface","E","slc-E-2"
"43",20,4.09262201267531,"3","slc","Surface","E","slc-E-3"
"44",20,12.0560587761675,"4","slc","Surface","E","slc-E-4"
"45",40,1,"1","slc","Surface","E","slc-E-1"
"46",40,1.17191353257972,"2","slc","Surface","E","slc-E-2"
"47",40,5.12151152410853,"3","slc","Surface","E","slc-E-3"
"48",40,10.3242597940678,"4","slc","Surface","E","slc-E-4"
"49",60,1,"1","slc","Surface","E","slc-E-1"
"50",60,1.16322224460461,"2","slc","Surface","E","slc-E-2"
"51",60,3.8301682735547,"3","slc","Surface","E","slc-E-3"
"52",60,8.3773476342928,"4","slc","Surface","E","slc-E-4"
"53",80,1,"1","slc","Surface","E","slc-E-1"
"54",80,1.18367536255785,"2","slc","Surface","E","slc-E-2"
"55",80,3.78712879449932,"3","slc","Surface","E","slc-E-3"
"56",80,7.15649357427404,"4","slc","Surface","E","slc-E-4"
"57",100,1,"1","slc","Surface","E","slc-E-1"
"58",100,1.15975837028469,"2","slc","Surface","E","slc-E-2"
"59",100,3.54239166223438,"3","slc","Surface","E","slc-E-3"
"60",100,6.20619691186079,"4","slc","Surface","E","slc-E-4"
"61",20,1,"1","iso","Surface","E","iso-E-1"
"62",20,1.0334560215201,"2","iso","Surface","E","iso-E-2"
"63",20,3.14972593896281,"3","iso","Surface","E","iso-E-3"
"64",20,12.4860851626966,"4","iso","Surface","E","iso-E-4"
"65",40,1,"1","iso","Surface","E","iso-E-1"
