"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"1",20,1,"1","bal","Surface","E","bal-E-1"
"2",20,1.34469471763707,"2","bal","Surface","E","bal-E-2"
"3",20,2.28130611138659,"3","bal","Surface","E","bal-E-3"
"4",20,2.73452447205863,"4","bal","Surface","E","bal-E-4"
"5",40,1,"1","bal","Surface","E","bal-E-1"
"6",40,1.44830017714894,"2","bal","Surface","E","bal-E-2"
"7",40,2.11874859109126,"3","bal","Surface","E","bal-E-3"
"8",40,2.27830329965003,"4","bal","Surface","E","bal-E-4"
"9",60,1,"1","bal","Surface","E","bal-E-1"
"10",60,1.51785033817908,"2","bal","Surface","E","bal-E-2"
"11",60,2.0159733568286,"3","bal","Surface","E","bal-E-3"
"12",60,2.14117419034409,"4","bal","Surface","E","bal-E-4"
"13",80,1,"1","bal","Surface","E","bal-E-1"
"14",80,1.54755808993178,"2","bal","Surface","E","bal-E-2"
"15",80,1.93876920340799,"3","bal","Surface","E","bal-E-3"
"16",80,2.04550111737998,"4","bal","Surface","E","bal-E-4"
"17",100,1,"1","bal","Surface","E","bal-E-1"
"18",100,1.56810699906976,"2","bal","Surface","E","bal-E-2"
"19",100,1.9022634816719,"3","bal","Surface","E","bal-E-3"
"20",100,1.9712948874393,"4","bal","Surface","E","bal-E-4"
"21",20,1,"1","imb","Surface","E","imb-E-1"
"22",20,1.55973918402475,"2","imb","Surface","E","imb-E-2"
"23",20,3.35432358911478,"3","imb","Surface","E","imb-E-3"
"24",20,4.52291965529339,"4","imb","Surface","E","imb-E-4"
"25",40,1,"1","imb","Surface","E","imb-E-1"
"26",40,2.02193310350363,"2","imb","Surface","E","imb-E-2"
"27",40,4.84679882775542,"3","imb","Surface","E","imb-E-3"
"28",40,6.20283844394338,"4","imb","Surface","E","imb-E-4"
"29",60,1,"1","imb","Surface","E","imb-E-1"
"30",60,2.6251016744734,"2","imb","Surface","E","imb-E-2"
"31",60,5.88466483839496,"3","imb","Surface","E","imb-E-3"
"32",60,7.93235084725652,"4","imb","Surface","E","imb-E-4"
"33",80,1,"1","imb","Surface","E","imb-E-1"
"34",80,2.96217985674432,"2","imb","Surface","E","imb-E-2"
"35",80,6.83145036936171,"3","imb","Surface","E","imb-E-3"
"36",80,9.15286543057154,"4","imb","Surface","E","imb-E-4"
"37",100,1,"1","imb","Surface","E","imb-E-1"
"38",100,3.15809449100484,"2","imb","Surface","E","imb-E-2"
"39",100,7.50528775967595,"3","imb","Surface","E","imb-E-3"
"40",100,10.1017234969562,"4","imb","Surface","E","imb-E-4"
"41",20,1,"1","slc","Surface","E","slc-E-1"
"42",20,1.19927041326064,"2","slc","Surface","E","slc-E-2"
"43",20,2.14102049872016,"3","slc","Surface","E","slc-E-3"
"44",20,2.62668812506092,"4","slc","Surface","E","slc-E-4"
"45",40,1,"1","slc","Surface","E","slc-E-1"
"46",40,1.26523570593507,"2","slc","Surface","E","slc-E-2"
"47",40,1.94586893191657,"3","slc","Surface","E","slc-E-3"
"48",40,2.11290400997899,"4","slc","Surface","E","slc-E-4"
"49",60,1,"1","slc","Surface","E","slc-E-1"
