"","Images","Speedup","Strategy","Workload","Camera","Format","Label"
"1",20,1,"1","bal","Surface","E","bal-E-1"
"2",20,1.68309236369619,"2","bal","Surface","E","bal-E-2"
"3",40,1,"1","bal","Surface","E","bal-E-1"
"4",40,1.68035695735077,"2","bal","Surface","E","bal-E-2"
"5",60,1,"1","bal","Surface","E","bal-E-1"
"6",60,1.74363342077728,"2","bal","Surface","E","bal-E-2"
"7",80,1,"1","bal","Surface","E","bal-E-1"
"8",80,1.72358503274163,"2","bal","Surface","E","bal-E-2"
"9",100,1,"1","bal","Surface","E","bal-E-1"
"10",100,1.71268719900838,"2","bal","Surface","E","bal-E-2"
"11",20,1,"1","imb","Surface","E","imb-E-1"
"12",20,2.88257751965785,"2","imb","Surface","E","imb-E-2"
"13",40,1,"1","imb","Surface","E","imb-E-1"
"14",40,4.53667697798648,"2","imb","Surface","E","imb-E-2"
"15",60,1,"1","imb","Surface","E","imb-E-1"
"16",60,6.61852826772182,"2","imb","Surface","E","imb-E-2"
"17",80,1,"1","imb","Surface","E","imb-E-1"
"18",80,7.94592365692743,"2","imb","Surface","E","imb-E-2"
"19",100,1,"1","imb","Surface","E","imb-E-1"
"20",100,9.03869617786219,"2","imb","Surface","E","imb-E-2"
"21",20,1,"1","slc","Surface","E","slc-E-1"
"22",20,1.35967711380153,"2","slc","Surface","E","slc-E-2"
"23",40,1,"1","slc","Surface","E","slc-E-1"
"24",40,1.34363320568355,"2","slc","Surface","E","slc-E-2"
"25",60,1,"1","slc","Surface","E","slc-E-1"
"26",60,1.34370898958634,"2","slc","Surface","E","slc-E-2"
"27",80,1,"1","slc","Surface","E","slc-E-1"
"28",80,1.3326339957248,"2","slc","Surface","E","slc-E-2"
"29",100,1,"1","slc","Surface","E","slc-E-1"
"30",100,1.33166859074102,"2","slc","Surface","E","slc-E-2"
"31",20,1,"1","iso","Surface","E","iso-E-1"
"32",20,1.32745334970881,"2","iso","Surface","E","iso-E-2"
"33",40,1,"1","iso","Surface","E","iso-E-1"
"34",40,1.26247806383184,"2","iso","Surface","E","iso-E-2"
"35",60,1,"1","iso","Surface","E","iso-E-1"
"36",60,1.51775838990598,"2","iso","Surface","E","iso-E-2"
"37",80,1,"1","iso","Surface","E","iso-E-1"
"38",80,1.77139126581571,"2","iso","Surface","E","iso-E-2"
"39",100,1,"1","iso","Surface","E","iso-E-1"
"40",100,1.99039746033652,"2","iso","Surface","E","iso-E-2"
"41",20,1,"1","bal","Surface","S","bal-S-1"
"42",20,1.67971739770386,"2","bal","Surface","S","bal-S-2"
"43",40,1,"1","bal","Surface","S","bal-S-1"
"44",40,1.6520019147263,"2","bal","Surface","S","bal-S-2"
"45",60,1,"1","bal","Surface","S","bal-S-1"
"46",60,1.71070712758327,"2","bal","Surface","S","bal-S-2"
"47",80,1,"1","bal","Surface","S","bal-S-1"
"48",80,1.68976336316049,"2","bal","Surface","S","bal-S-2"
"49",100,1,"1","bal","Surface","S","bal-S-1"
"50",100,1.69663812676095,"2","bal","Surface","S","bal-S-2"
"51",20,1,"1","imb","Surface","S","imb-S-1"
"52",20,3.00978208188369,"2","imb","Surface","S","imb-S-2"
"53",40,1,"1","imb","Surface","S","imb-S-1"
"54",40,5.02331140671711,"2","imb","Surface","S","imb-S-2"
"55",60,1,"1","imb","Surface","S","imb-S-1"
"56",60,7.593268175925,"2","imb","Surface","S","imb-S-2"
"57",80,1,"1","imb","Surface","S","imb-S-1"
"58",80,9.44279477384354,"2","imb","Surface","S","imb-S-2"
"59",100,1,"1","imb","Surface","S","imb-S-1"
"60",100,10.9045816651408,"2","imb","Surface","S","imb-S-2"
"61",20,1,"1","slc","Surface","S","slc-S-1"
"62",20,1.30554488869529,"2","slc","Surface","S","slc-S-2"
"63",40,1,"1","slc","Surface","S","slc-S-1"
"64",40,1.29088531057698,"2","slc","Surface","S","slc-S-2"
"65",60,1,"1","slc","Surface","S","slc-S-1"
"66",60,1.30187465326192,"2","slc","Surface","S","slc-S-2"
"67",80,1,"1","slc","Surface","S","slc-S-1"
"68",80,1.30571413475304,"2","slc","Surface","S","slc-S-2"
"69",100,1,"1","slc","Surface","S","slc-S-1"
"70",100,1.30404348045567,"2","slc","Surface","S","slc-S-2"
"71",20,1,"1","iso","Surface","S","iso-S-1"
"72",20,1.34970630067764,"2","iso","Surface","S","iso-S-2"
"73",40,1,"1","iso","Surface","S","iso-S-1"
"74",40,1.28344178724351,"2","iso","Surface","S","iso-S-2"
"75",60,1,"1","iso","Surface","S","iso-S-1"
"76",60,1.55775235616141,"2","iso","Surface","S","iso-S-2"
"77",80,1,"1","iso","Surface","S","iso-S-1"
"78",80,1.83081600288091,"2","iso","Surface","S","iso-S-2"
"79",100,1,"1","iso","Surface","S","iso-S-1"
"80",100,2.05906633429376,"2","iso","Surface","S","iso-S-2"
"81",20,1,"1","bal","cinema","E","bal-E-1"
"82",20,1.57283463077703,"2","bal","cinema","E","bal-E-2"
"83",40,1,"1","bal","cinema","E","bal-E-1"
"84",40,1.57517308129142,"2","bal","cinema","E","bal-E-2"
"85",60,1,"1","bal","cinema","E","bal-E-1"
"86",60,1.62929072292081,"2","bal","cinema","E","bal-E-2"
"87",80,1,"1","bal","cinema","E","bal-E-1"
"88",80,1.61652262202521,"2","bal","cinema","E","bal-E-2"
"89",100,1,"1","bal","cinema","E","bal-E-1"
"90",100,1.60877333665509,"2","bal","cinema","E","bal-E-2"
"91",20,1,"1","imb","cinema","E","imb-E-1"
"92",20,1.64264351029419,"2","imb","cinema","E","imb-E-2"
"93",40,1,"1","imb","cinema","E","imb-E-1"
"94",40,1.6309801211125,"2","imb","cinema","E","imb-E-2"
"95",60,1,"1","imb","cinema","E","imb-E-1"
"96",60,1.65696203505048,"2","imb","cinema","E","imb-E-2"
"97",80,1,"1","imb","cinema","E","imb-E-1"
"98",80,1.66759248906961,"2","imb","cinema","E","imb-E-2"
"99",100,1,"1","imb","cinema","E","imb-E-1"
"100",100,1.67769177628333,"2","imb","cinema","E","imb-E-2"
"101",20,1,"1","slc","cinema","E","slc-E-1"
"102",20,1.31699497294521,"2","slc","cinema","E","slc-E-2"
"103",40,1,"1","slc","cinema","E","slc-E-1"
"104",40,1.31047483558974,"2","slc","cinema","E","slc-E-2"
"105",60,1,"1","slc","cinema","E","slc-E-1"
"106",60,1.32721078358762,"2","slc","cinema","E","slc-E-2"
"107",80,1,"1","slc","cinema","E","slc-E-1"
"108",80,1.31953015609604,"2","slc","cinema","E","slc-E-2"
"109",100,1,"1","slc","cinema","E","slc-E-1"
"110",100,1.32152951563945,"2","slc","cinema","E","slc-E-2"
"111",20,1,"1","iso","cinema","E","iso-E-1"
"112",20,1.10417682807021,"2","iso","cinema","E","iso-E-2"
"113",40,1,"1","iso","cinema","E","iso-E-1"
"114",40,1.08300661138333,"2","iso","cinema","E","iso-E-2"
"115",60,1,"1","iso","cinema","E","iso-E-1"
"116",60,1.11497686125515,"2","iso","cinema","E","iso-E-2"
"117",80,1,"1","iso","cinema","E","iso-E-1"
"118",80,1.09931725732171,"2","iso","cinema","E","iso-E-2"
"119",100,1,"1","iso","cinema","E","iso-E-1"
