num_cells,algorithm,topology,collisions,unique_hashes,max_collisions
4851495,XOR,regular,17413059,1000430,30
4851495,FNV1a,regular,20959,9751238,4
4851495,Morton,regular,884795,9315750,12
4851495,XOR,randomized,17315720,1048483,50
4851495,FNV1a,randomized,22013,9750711,4
4851495,Morton,randomized,884760,9315750,12
10241915,XOR,regular,36789429,2097152,22
10241915,FNV1a,regular,93411,20533607,4
10241915,Morton,regular,24452166,8293117,10
10241915,XOR,randomized,36783997,2097035,56
10241915,FNV1a,randomized,98798,20530919,4
10241915,Morton,randomized,24452131,8293117,10
16539745,XOR,regular,59427637,3375065,30
16539745,FNV1a,regular,241300,33091415,6
16539745,Morton,regular,5318540,30548263,12
16539745,XOR,randomized,57792131,4192732,50
16539745,FNV1a,randomized,254449,33084826,4
16539745,Morton,randomized,5318515,30548263,12
26340120,XOR,regular,94664899,5359781,22
26340120,FNV1a,regular,605528,52557500,6
26340120,Morton,regular,12712282,46498648,12
26340120,XOR,randomized,88669305,8361698,48
26340120,FNV1a,randomized,645473,52537704,6
26340120,Morton,randomized,12712306,46498648,12
39402995,XOR,regular,141642468,8000754,30
39402995,FNV1a,regular,1369534,78356139,8
39402995,Morton,regular,12535138,72751131,12
39402995,XOR,randomized,140863154,8387968,56
39402995,FNV1a,randomized,1438374,78321482,8
39402995,Morton,randomized,12535343,72751131,12
56197120,XOR,regular,202046756,11391071,22
56197120,FNV1a,regular,2752900,111313070,7
56197120,Morton,regular,99669407,62716008,16
56197120,XOR,randomized,191336750,16750710,48
56197120,FNV1a,randomized,2919233,111230447,6
56197120,Morton,randomized,99668747,62716008,16
82906875,XOR,regular,298137924,16777216,22
82906875,FNV1a,regular,5973345,163208047,8
82906875,Morton,regular,223398918,54227951,10
82906875,XOR,randomized,298116824,16776374,62
82906875,FNV1a,randomized,6327754,163030131,8
82906875,Morton,randomized,223397336,54227951,10
102854120,XOR,regular,369879383,20798220,22
102854120,FNV1a,regular,9150313,201568056,8
102854120,Morton,regular,67132448,172561404,14
102854120,XOR,randomized,344708310,33395491,56
102854120,FNV1a,randomized,9706030,201291700,8
102854120,Morton,randomized,67132439,172561404,14
133654495,XOR,regular,480690321,27000281,30
133654495,FNV1a,regular,15536502,260056636,8
133654495,Morton,regular,60710823,237436262,14
133654495,XOR,randomized,467605246,33542639,54
133654495,FNV1a,randomized,16316881,259665233,10
133654495,Morton,randomized,60710620,237436262,14
170061120,XOR,regular,611667530,34329409,22
170061120,FNV1a,regular,24768670,328332368,8
170061120,Morton,regular,94532042,293382115,14
170061120,XOR,randomized,580967159,49699042,58
170061120,FNV1a,randomized,26268816,327585349,8
170061120,Morton,randomized,94531677,293382115,14
212542745,XOR,regular,764513064,42876727,30
212542745,FNV1a,regular,38850847,406347058,10
212542745,Morton,regular,163581759,343907177,14
212542745,XOR,randomized,716494101,66903349,50
212542745,FNV1a,randomized,40765985,405386781,10
212542745,Morton,randomized,163580182,343907177,14
280909435,XOR,regular,1010508710,56623104,26
280909435,FNV1a,regular,67192986,529033764,10
280909435,Morton,regular,183902923,470561467,12
280909435,XOR,randomized,989564155,67093434,56
280909435,FNV1a,randomized,70473327,527389642,12
280909435,Morton,randomized,183901758,470561467,12
317605995,XOR,regular,1142547393,64001381,30
317605995,FNV1a,regular,85509830,593328448,10
317605995,Morton,regular,190400565,540798353,16
317605995,XOR,randomized,1136323614,67103843,62
317605995,FNV1a,randomized,89557922,591299458,12
317605995,Morton,randomized,190400176,540798353,16
381125120,XOR,regular,1371105758,76767194,22
381125120,FNV1a,regular,120921246,702737661,12
381125120,Morton,regular,260625943,632794835,12
381125120,XOR,randomized,1261263860,131728637,54
381125120,FNV1a,randomized,127737355,699341366,14
381125120,Morton,randomized,260626088,632794835,12
452594245,XOR,regular,1628280584,91128324,30
452594245,FNV1a,regular,170408297,821045372,12
452594245,Morton,regular,373315175,719442202,14
452594245,XOR,randomized,1542546264,134014379,56
452594245,FNV1a,randomized,178187704,817147627,12
452594245,Morton,randomized,373314898,719442202,14
532482120,XOR,regular,1915755550,107174599,22
532482120,FNV1a,regular,231239064,950471086,14
532482120,Morton,regular,618645594,756472148,16
532482120,XOR,randomized,1861775114,134168867,58
532482120,FNV1a,randomized,243685173,944267507,14
532482120,Morton,randomized,618643924,756472148,16
667164155,XOR,regular,2400480753,134217728,22
667164155,FNV1a,regular,356692609,1157279214,14
667164155,Morton,regular,1853806877,407843711,10
667164155,XOR,randomized,2400480753,134217728,22
667164155,FNV1a,randomized,356692609,1157279214,14
667164155,Morton,randomized,1853806877,407843711,10
